总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
五菱之光 2015款 1.2L S实用型LSI,五菱之光,2015款,2.40,3.50,2015-12,4.99万公里,楚雄彝族自治州,国四,手动,3000元（车价x4%，最低3000元） ,上汽通用五菱,微面,1.2L 82马力 L4,5档手动变速箱(MT),客车,3890/1580/1822,2500,-,1000,1.2,自然吸气,L4,82,115,汽油,92号,多点电喷,国四,,无助力,麦弗逊式独立悬挂,纵置钢板弹簧,盘式,鼓式,-,165/70 R13,165/70 R13,无/无,无/无,无/无,无,无,标配,无,标配,无,无,无,无,无,无,无,无/无,无,无,无,无,无,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
猎豹黑金刚 2013款 2.2L 手动两驱标准型,猎豹黑金刚,2013款,7.00,11.90,2013-09,5.8万公里,怒江僳僳族自治州,国四,手动,3500元（车价x4%，最低3500元） ,猎豹汽车,中型SUV,2.2L 129马力 L4,5档手动变速箱(MT),5门7座SUV,4800/1830/1890,2725,-,1755,2.2,自然吸气,L4,129,200,汽油,92号,多点电喷,国四,-,机械液压助力,麦弗逊式独立悬架,钢板弹簧结构,通风盘式,鼓式,-,235/85 R16,235/85 R16,正常/正常,无/无,无/无,无,标配,无,无,标配,无,无,无,无,无,无,标配,标配/标配,无,无,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
奔驰M级 2010款 ML 300 4MATIC(进口),奔驰M级,2010款,38.00,84.40,2011-06,17万公里,保山,国四,自动,15200元（车价x4%，最低3500元） ,奔驰(进口),中大型SUV,3.0L 231马力 V6,7档手自一体变速箱(AT),5门5座SUV,4781/1911/1815,2915,-,-,3.0,自然吸气,V6,231,300,汽油,95号,多点电喷,国四,全时四驱,电子液压助力,双叉臂独立悬架,四连杆独立悬架,通风盘式,通风盘式,-,255/55 R18,255/55 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
凯迪拉克XT5 2016款 28T 四驱技术型,凯迪拉克XT5,2016款,34.00,41.20,2017-02,0.5万公里,昭通,国五,自动,13600元（车价x4%，最低3500元） ,上汽通用凯迪拉克,中型SUV,2.0T 269马力 L4,8档手自一体变速箱(AT),5门5座SUV,4812/1903/1680,2857,584-16,1885,2.0,涡轮增压,L4,269,400,汽油,95号,直喷,国五,适时四驱,电动助力,麦弗逊式独立悬架,五连杆独立悬架,通风盘式,通风盘式,-,235/65 R18,235/65 R18,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,无,无,标配,无,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
吉利GX7 2012款 1.8 手动 精英型,吉利GX7,2012款,4.80,10.50,2013-04,5.53万公里,红河哈尼族彝族自治州,国四,手动,3500元（车价x4%，最低3500元） ,吉利汽车,紧凑型SUV,1.8L 139马力 L4,5档手动变速箱(MT),5门5座SUV,4541/1833/1700,2661,-,-,1.8,自然吸气,L4,139,172,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,无,标配,无,无,无,无,标配,标配/标配,标配,标配,无,无,标配,标配,加装,加装,加装,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
起亚智跑 2014款 2.0L 自动两驱版DLX,起亚智跑,2014款,12.60,21.50,2013-12,6.8万公里,曲靖,国四,自动,5040元（车价x4%，最低3500元） ,东风悦达起亚,紧凑型SUV,2.0L 165马力 L4,6档手自一体变速箱(AT),5门5座SUV,4440/1855/1660,2640,-,1423,2.0,自然吸气,L4,165,199,汽油,92号,多点电喷,国四,-,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/55 R18,235/55 R18,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,无,标配,无,标配,标配,无,标配,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
比亚迪S6 2013款 劲悦版 2.4L 手动尊贵型 5座,比亚迪S6,2013款,6.50,12.40,2013-11,3.25万公里,大理,国四,手动,3500元（车价x4%，最低3500元） ,比亚迪,中型SUV,2.4L 167马力 L4,6档手动变速箱(MT),5门5座SUV,4810/1855/1725,2720,1084-2,1665,2.4,自然吸气,L4,167,234,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,正常/正常,正常/正常,无,标配,标配,标配,标配,无,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,无,标配,标配,标配,标配,标配,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
雷克萨斯ES 2010款 240 典雅版,雷克萨斯ES,2010款,16.80,42.30,2011-02,11.5万公里,广州,国四,自动,6720元（车价x4%，最低3500元） ,雷克萨斯,中大型车,2.4L 167马力 L4,5档手自一体变速箱(AT),4门5座三厢车,4875/1820/1450,2775,494,1595,2.4,自然吸气,L4,167,224,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架+横向稳定杆,独立双连杆麦弗逊滑柱式带横向稳定杆,通风盘式,盘式,-,215/55 R17,215/55 R17,正常/正常,正常/正常,正常/正常,无,标配,无,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1
宝马Z4 2012款 sDrive20i领先型(进口),宝马Z4,2012款,27.60,62.70,2013-01,5.5万公里,红河哈尼族彝族自治州,国四,自动,11040元（车价x4%，最低3500元） ,宝马(进口),跑车,2.0T 184马力 L4,8档手自一体变速箱(AT),2门2座硬顶敞篷车,4239/1790/1291,2496,180-31,1495,2.0,涡轮增压,L4,184,270,汽油,95号,直喷,国四,,机械液压助力,单节点弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,-,225/45 R17,225/45 R17,正常/正常,正常/正常,正常/正常,标配,标配,无,标配,标配,标配,无,无,无,无,标配,无,标配/无,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
现代悦动 2011款 1.6L 自动豪华型,现代悦动,2011款,5.18,13.10,2013-07,7.58万公里,眉山,国四,自动,3500元（车价x4%，最低3500元） ,北京现代,紧凑型车,1.6L 123马力 L4,4档自动变速箱(AT),4门5座三厢车,4543/1777/1490,2650,475,1215,1.6,自然吸气,L4,123,155,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,195/65 R15,195/65 R15,正常/正常,无/无,无/无,无,标配,无,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,标配,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
