总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
大众速腾 2009款 1.6L 手动时尚型,大众速腾,2009款,5.30,14.40,2009-12,13.3万公里,渭南,国四,手动,3500元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.6L 100马力 L4,5档手动变速箱(MT),4门5座三厢车,4544/1760/1461,2578,527,1353,1.6,自然吸气,L4,100,145,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,无,无,标配,标配,无,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0
沃尔沃S60L 2014款 2.0T T5 智驭版,沃尔沃S60L,2014款,21.10,36.40,2015-03,3.5万公里,咸阳,国四,自动,8440元（车价x4%，最低3500元） ,沃尔沃亚太,中型车,2.0T 214马力 L5,6档手自一体变速箱(AT),4门5座三厢车,4715/1866/1481,2856,380,1642,2.0,涡轮增压,L5,214,300,汽油,95号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/45 R17,235/45 R17,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沃尔沃XC60 2012款 2.0T T5 智雅版(进口),沃尔沃XC60,2012款,20.30,50.80,2012-01,9.6万公里,榆林,国四,自动,8120元（车价x4%，最低3500元） ,沃尔沃(进口),中型SUV,2.0T 240马力 L4,6档双离合变速箱(DCT),5门5座SUV,4627/1891/1713,2774,873-19,1793,2.0,涡轮增压,L4,240,320,汽油,95号,直喷,国四,-,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,-,235/60 R18,235/60 R18,正常/正常,正常/无,正常/正常,无,标配,标配,无,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
宝马X3 2013款 改款 xDrive28i 领先型(进口),宝马X3,2013款,38.00,62.10,2013-11,6.1万公里,渭南,国四,自动,15200元（车价x4%，最低3500元） ,宝马(进口),中型SUV,2.0T 245马力 L4,8档手自一体变速箱(AT),5门5座SUV,4642/1881/1686,2810,-,1860,2.0,涡轮增压,L4,245,350,汽油,95号,直喷,国四,全时四驱,电动助力,双球节弹簧减振支柱前桥,五连杆后悬架,通风盘式,通风盘式,-,245/50 R18,245/50 R18,正常/正常,正常/正常,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
本田雅阁 2012款 2.0L SE,本田雅阁,2012款,11.38,22.00,2012-08,14.64万公里,咸阳,国四,自动,4552元（车价x4%，最低3500元） ,广汽本田,中型车,2.0L 156马力 L4,5档自动变速箱(AT),4门5座三厢车,4960/1845/1480,2800,-,1510,2.0,自然吸气,L4,156,189,汽油,92号,多点电喷,国四,,机械液压助力,双横臂式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R16,215/60 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,标配,加装,标配,加装,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,2
丰田凯美瑞 2011款 200G 经典周年纪念版,丰田凯美瑞,2011款,10.20,21.00,2011-04,10.6万公里,安康,国四,自动,4080元（车价x4%，最低3500元） ,广汽丰田,中型车,2.0L 147马力 L4,4档自动变速箱(AT),4门5座三厢车,4825/1820/1485,2775,504,-,2.0,自然吸气,L4,147,190,汽油,95号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,双连杆独立悬架,通风盘式,盘式,-,215/60 R16,215/60 R16,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,标配,无,标配,标配,无,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0
五菱宏光 2014款 1.5L S自动舒适型,五菱宏光,2014款,4.80,8.00,2015-01,3.06万公里,铜川,国四,自动,3500元（车价x4%，最低3500元） ,上汽通用五菱,微面,1.5L 112马力 L4,4档自动变速箱(AT),客车,4400/1680/1770,2720,-,-,1.5,自然吸气,L4,112,147,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬挂,五连杆式非独立悬架,通风盘式,鼓式,-,185/70 R14,185/70 R14,正常/无,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
捷豹XE 2015款 2.0T 200PS R-Sport,捷豹XE,2015款,32.00,43.20,2016-02,2.68万公里,咸阳,国五,自动,12800元（车价x4%，最低3500元） ,捷豹,中型车,2.0T 200马力 L4,8档手自一体变速箱(AT),4门5座三厢车,4672/1850/1416,2835,455,1530,2.0,涡轮增压,L4,200,280,汽油,95号,直喷,国五,,电动助力,双叉臂式独立悬架,多连杆独立悬架,通风盘式,通风盘式,-,225/45 R18,245/40 R18,正常/正常,正常/无,正常/正常,标配,标配,标配,标配,标配,标配,标配,标配,无,无,标配,无,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东风小康东风风光330 2014款 1.5L手动舒适型DK15-02,东风小康东风风光330,2014款,3.68,5.90,2015-06,1.8万公里,安康,国四,手动,3500元（车价x4%，最低3500元） ,东风小康,微面,1.5L 116马力 L4,5档手动变速箱(MT),客车,4365/1720/1770,2725,-,1235,1.5,自然吸气,L4,116,-,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬挂,后螺旋弹簧非独立悬架,通风盘式,鼓式,-,185/65 R14,185/65 R14,正常/正常,正常/正常,正常/正常,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/标配,无,无,标配,无,标配,无,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
起亚索兰托 2013款 2.4L 7座汽油至尊UVO版(进口),起亚索兰托,2013款,19.50,32.70,2014-03,4.05万公里,榆林,国四,自动,7800元（车价x4%，最低3500元） ,起亚(进口),中型SUV,2.4L 174马力 L4,6档手自一体变速箱(AT),5门7座SUV,4685/1885/1745,2700,-,-,2.4,自然吸气,L4,174,226,汽油,92号,多点电喷,国四,适时四驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,235/60 R18,235/60 R18,正常/正常,正常/正常,正常/正常,无,标配,无,标配,标配,标配,标配,标配,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
大众朗逸 2011款 1.6L 手动品雅版,大众朗逸,2011款,5.90,13.30,2012-03,7.8万公里,安康,国四,手动,3500元（车价x4%，最低3500元） ,上汽大众,紧凑型车,1.6L 105马力 L4,5档手动变速箱(MT),4门5座三厢车,4608/1743/1465,2610,472,1245,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/正常,正常/正常,标配,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,无,无,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
大众朗行 2013款 1.6L 手动风尚型,大众朗行,2013款,7.30,12.60,2013-09,5.76万公里,渭南,国四,手动,3500元（车价x4%，最低3500元） ,上汽大众,紧凑型车,1.6L 110马力 L4,5档手动变速箱(MT),5门5座两厢车,4454/1765/1460,2610,412,1235,1.6,自然吸气,L4,110,155,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,195/65 R15,195/65 R15,正常/正常,正常/正常,正常/正常,无,标配,标配,无,标配,标配,无,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
长安商用长安之星 2009款 1.0LSC6363B4YJL466Q9,长安商用长安之星,2009款,1.00,3.40,2012-10,5.79万公里,渭南,国三,手动,2500元（车价x4%，最低2500元） ,长安汽车,微面,1.0L 69马力 L4,5档手动变速箱(MT),客车,3607/1528/1925,2350,-,960,1.0,自然吸气,L4,69,-,汽油,92号,多点电喷,国三,,无助力,麦弗逊式独立悬挂,钢板弹簧,盘式,鼓式,-,165/70 R14,165/70 R14,正常/正常,正常/正常,正常/正常,无,无,无,无,无,无,无,无,无,无,无,无,无/无,无,无,无,无,无,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
