总车型,车型1,款式年份,卖家报价(万),新车指导价(万),上牌时间,公里数,上牌城市,排放标准,变速箱1,服务费,厂商,级别,发动机,变速箱详情,车身结构,长宽高,轴承,行李容积,整备质量,排量,进气形式,气缸,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,排放标准,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驻车制动类型,前轮胎规格,后轮胎规格,主副驾驶安全气囊,前后排侧气囊,前后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动系统,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,前后电动车窗,后视镜电动调节,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前后排座椅加热,事故排查,泡水排查,火烧排查,机舱项,底盘悬架项,安全系统,外部配置,内部配置,灯光系统,高科技配置,随车工具,仪表台指示灯,发动机状态,变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测
奔腾B70 2014款 2.0L 自动豪华型,奔腾B70,2014款,7.80,13.00,2015-01,6.7万公里,眉山,国四,自动,3500元（车价x4%，最低3500元） ,一汽奔腾,中型车,2.0L 147马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4800/1820/1472,2725,522,1480,2.0,自然吸气,L4,147,184,汽油,92号,多点电喷,国四,,机械液压助力,双横臂式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/50 R17,215/50 R17,正常/正常,正常/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,无,标配,标配,标配,标配,无,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,1
大众宝来 2013款 1.6L 自动舒适型,大众宝来,2013款,7.99,13.90,2013-05,7.04万公里,乐山,国四,自动,3500元（车价x4%，最低3500元） ,一汽-大众,紧凑型车,1.6L 105马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4523/1775/1467,2610,450,1310,1.6,自然吸气,L4,105,155,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,无,标配,标配,无,加装,加装,无,标配,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0
吉利帝豪 2014款 三厢 1.5L 手动时尚型,吉利帝豪,2014款,4.00,7.60,2014-12,7.1万公里,绵阳,国五,手动,3500元（车价x4%，最低3500元） ,吉利汽车,紧凑型车,1.5L 109马力 L4,5档手动变速箱(MT),4门5座三厢车,4631/1789/1470,2650,680,1250,1.5,自然吸气,L4,109,140,汽油,92号,多点电喷,国五,,机械液压助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,-,205/65 R15,205/65 R15,正常/正常,无/无,无/无,无,标配,标配,标配,标配,无,无,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,加装,无,加装,无,无/无,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2
长安CS35 2015款 1.6L 自动豪华型 国IV,长安CS35,2015款,6.50,10.10,2015-06,4.1万公里,重庆,国四,自动,3500元（车价x4%，最低3500元） ,长安汽车,小型SUV,1.6L 125马力 L4,4档手自一体变速箱(AT),5门5座SUV,4160/1810/1670,2560,-,1290,1.6,自然吸气,L4,125,160,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,-,215/50 R17,215/50 R17,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,标配,标配/标配,标配,无,标配,标配,标配,无,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
丰田威驰 2014款 1.3L 手动型尚版,丰田威驰,2014款,5.38,8.20,2016-01,2.5万公里,阿坝藏族羌族自治州,国四,手动,3500元（车价x4%，最低3500元） ,一汽丰田,小型车,1.3L 99马力 L4,5档手动变速箱(MT),4门5座三厢车,4410/1700/1490,2550,476,1025,1.3,自然吸气,L4,99,123,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,-,175/65 R14,175/65 R14,正常/正常,无/无,无/无,无,标配,标配,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0
江淮和悦 2011款 1.5L 手动优雅型,江淮和悦,2011款,2.98,7.70,2011-09,10.26万公里,重庆,国四,手动,3000元（车价x4%，最低3000元） ,江淮汽车,紧凑型车,1.5L 113马力 L4,5档手动变速箱(MT),4门5座三厢车,4590/1765/1465,2710,430,1325,1.5,自然吸气,L4,113,146,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架+横向稳定杆,双连杆独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,无/无,无/无,无,标配,无,无,标配,无,无,无,无,无,无,无,标配/标配,标配,无,无,无,标配,无,无,无,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,0
标致508 2013款 2.0L 两周年纪念 自动天窗经典版,标致508,2013款,10.99,19.70,2014-05,4.75万公里,南充,国四,自动,4396元（车价x4%，最低3500元） ,东风标致,中型车,2.0L 147马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4826/1855/1465,2815,475,1541,2.0,自然吸气,L4,147,200,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R16,215/60 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,无,标配,标配,无,标配,无,加装,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
起亚K3 2013款 1.6L 手动GLS,起亚K3,2013款,7.48,12.50,2014-05,3.42万公里,德阳,国四,手动,3500元（车价x4%，最低3500元） ,东风悦达起亚,紧凑型车,1.6L 128马力 L4,6档手动变速箱(MT),4门5座三厢车,4600/1780/1445,2700,-,1230,1.6,自然吸气,L4,128,156,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,标配,无,标配,无,标配,无,无,无,无,无,标配/标配,标配,无,标配,无,标配,无,加装,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
长安商用欧诺 2013款 1.5L精英型,长安商用欧诺,2013款,3.38,6.10,2014-06,4.8万公里,德阳,国四,手动,3500元（车价x4%，最低3500元） ,长安汽车,微面,1.5L 106马力 L4,5档手动变速箱(MT),客车,4360/1685/1850,2750,-,1325,1.5,自然吸气,L4,106,135,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬挂,多连杆螺旋弹簧非独立悬架,通风盘式,鼓式,-,195/60 R15,195/60 R15,无/无,无/无,无/无,无,标配,无,无,标配,无,无,无,无,无,无,标配,标配/标配,标配,无,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
现代朗动 2016款 1.6L 自动尊贵型,现代朗动,2016款,9.99,13.90,2016-09,0.33万公里,资阳,国四,自动,3996元（车价x4%，最低3500元） ,北京现代,紧凑型车,1.6L 128马力 L4,6档手自一体变速箱(AT),4门5座三厢车,4570/1775/1445,2700,473,1275,1.6,自然吸气,L4,128,156,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,标配,标配,标配,标配,标配,无,无,无,无,无,标配/标配,标配,标配,标配,标配,标配,无,无,标配,标配,加装,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
大众帕萨特 2013款 1.8TSI DSG尊荣版,大众帕萨特,2013款,13.88,23.80,2014-03,6.9万公里,内江,国四,自动,5552元（车价x4%，最低3500元） ,上汽大众,中型车,1.8T 160马力 L4,7档双离合变速箱(DCT),4门5座三厢车,4870/1834/1472,2803,490,1520,1.8,涡轮增压,L4,160,250,汽油,95号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/60 R16,215/60 R16,正常/正常,正常/无,正常/正常,标配,标配,标配,无,标配,标配,标配,无,无,无,标配,无,标配/标配,标配,标配,无,标配,标配,标配,加装,标配,无,标配,标配/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
奇瑞瑞虎5 2016款 2.0L 手动家悦版,奇瑞瑞虎5,2016款,7.90,10.70,2016-02,1.5万公里,南充,国四,手动,3500元（车价x4%，最低3500元） ,奇瑞汽车,紧凑型SUV,2.0L 139马力 L4,5档手动变速箱(MT),5门5座SUV,4506/1841/1740,2610,370-10,1495,2.0,自然吸气,L4,139,182,汽油,92号,多点电喷,国四,,机械液压助力,麦弗逊式独立悬架,双连杆独立悬架,通风盘式,盘式,-,225/65 R17,225/65 R17,正常/正常,正常/无,无/无,标配,标配,标配,无,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,无,标配,标配,标配,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
现代朗动 2015款 1.6L 手动领先型,现代朗动,2015款,9.00,12.60,2015-12,1.3万公里,苏州,国四,手动,3600元（车价x4%，最低3500元） ,北京现代,紧凑型车,1.6L 128马力 L4,6档手动变速箱(MT),4门5座三厢车,4570/1775/1445,2700,473,1233,1.6,自然吸气,L4,128,156,汽油,92号,多点电喷,国四,,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,-,205/55 R16,205/55 R16,正常/正常,正常/无,无/无,无,标配,标配,标配,标配,无,标配,无,无,无,无,无,标配/标配,标配,标配,无,无,标配,无,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
福特福克斯 2012款 两厢 2.0L 手动豪华运动型,福特福克斯,2012款,11.50,16.50,2015-06,4.2万公里,永川区,国四,手动,4600元（车价x4%，最低3500元） ,长安福特,紧凑型车,2.0L 170马力 L4,5档手动变速箱(MT),5门5座两厢车,4368/1823/1483,2648,356,1367,2.0,自然吸气,L4,170,202,汽油,92号,直喷,国四,,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,-,215/50 R17,215/50 R17,正常/正常,正常/无,正常/正常,无,标配,标配,无,标配,标配,标配,无,无,无,无,标配,标配/标配,标配,标配,标配,标配,标配,标配,无,标配,无,无,无/无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
